,,,,PRODUCTOS QUE COMERCIALIZA,,,,
NO. ES,UBICACION,COLONIA,CP,MAGNA,PREMIUM,DIESEL,DME,
E05993,LOTE NUM. 1 MANZANA NUM. 60,REGION NUM. 219,77500,S,S,N,N,
E06015,AVENIDA Yachilan lotes 8 y 9   s/n,Supermanzana 1,77540,S,S,N,N,
E06043,"AVENIDA LOPEZ PORTILLO, LOTES 9, 10, Y 11",SUPER MANZANA 58,77500,S,S,N,N,
E06048,Avenida Bonampak Manzana 1 Lote 1 y 2,Manzana 1 Seccion E,77500,S,S,N,N,
E06195,CALLE MAYAPAN  LOTES 11 Y 12 CON COMACALCO MANZANA 11 SECC. 1A.,ZONA INDUSTRIAL,77530,S,S,S,N,
E06217,ANDRES QUINTANA ROO,Sin Colonia,77500,S,S,N,N,
E06225,"AVENIDA MIGUEL HIDALGO LOTES 6, 7 Y 8","SUPERMANZANA 100, MANZANA 34",77500,S,S,N,N,
E06239,"AVENIDA TALLERES, LOTE 6, MZ 6, S/N",SUPERMANZANA 210,77500,S,S,N,N,
E06391,AVENIDA TALLERES LOTE 12 Y 13 MZ 35 S/N,SUPERMANZANA 200,77500,S,S,N,N,
E06427,AVENIDA PROLONGACION KABAH ESQUINA AVENIDA NINOS HEROES,"REGION 228, LOTE 14, MANZANA 104",77500,S,S,N,N,
E06561,AVENIDA LA LUNA MANZANA 1 LOTE 1,SUPERMANZANA 49,77500,S,S,N,N,
E06562,BOULEVARD LUIS DONALDO COLOSIO S/N.,RESERVA SASCABERAS,07750,S,S,S,N,
E06612,SUPER MANZANA 8 MANZANA 1 LOTE 3 INT. B,CENTRO,77500,S,S,N,N,
E06631,"AVENIDA PUERTO JUAREZ, MANZANA 56 LOTE 14 SUPERMANZANA 90",Sin Colonia,77620,S,S,N,N,
E06645,LIBRAMIENTO KABAH SUPER MZA.17 MZA.3 LOTES 1 Y 2,CENTRO,77500,S,S,S,N,
E06994,CARRETERA CANCUN-CHETUMAL KM 339.300,,,S,S,S,N,
E07054,CAMINO A RANCHO VIEJO FRACCIONAMIENTOION 2 DEL LOTE NO.1 MANZANA 274,CANCUN CENTRO,77500,S,S,S,N,
E07057,LOTE 2-A MANZANA 01 SUPERMANZANA 36,Sin Colonia,77000,S,S,N,N,
E07214,CARRETERA FEDERAL MERIDA CANCUN KM. 277,POBLACION LEONA VICARIO,39022,S,N,S,N,
E07244,AVENIDA NICHUPTE ESQ. CON AVENIDA KINIK SM. 51 LOTE 1-03,MANZANA 01,77500,S,S,N,N,
E07259,AVENIDA NINOS HEROES LOTE 2 S/N,"REGION 233, MZ 8",77500,S,S,S,N,
E07332,ZONA FEDERAL MARITIMA TERRESTRE Y AV.L.PORTILLO,S.M.84,77500,S,N,N,S,
E07525,SUPER MANZANA 509 LOTE 02,S/C,77500,S,S,N,N,
E07673,CARRETERA CANCUN-CHETUMAL KM.22,SN,77565,S,N,S,N,
E07845,LOTE 7 MANZANA 26 ZONA 1,S/C,77500,S,S,N,N,
E07865,AV.L.DONALDO COLOSIO SUPERMANZANA 310 MANZANA 66,LOTE # 34,77500,S,S,S,N,
E07944,AVENIDA LEONA VICARIO MANZANA-01 LOTE-01,REGION 219,77500,S,S,N,N,
E07947,"EMBARCADERO CANCUN, BOULEVARD KUKULKAN KM. 4.5",ZONA HOTELERA,77500,S,N,S,N,
E07951,AVENIDA BONAMPAK LOTES 1-01 Y 1-02 SM. 51,MZA. 51,77533,S,S,N,N,
E08254,AVENIDA LOMBARDO TOLEDANO SMZA 73 MZA 1 LOTE 77-02,S/ COLONIA,77500,S,S,N,N,
E08311,SUPERMANZANA 099 MANZANA 24 LOTE 02-01,SIN COLONIA,77500,S,S,N,N,
E08372,"AUTOPISTA PUERTO MORELOS SMZNA 52,MZNA 08 L-01",,,S,S,S,N,
E08410,BOULEVAR KUKULCAN KM.14.976,ZONA HOTELERA,77500,S,S,N,N,
E08466,CARRETERA MERIDA-CANCUN KM. 309,TIERRA MAYA,77500,S,S,S,N,
E08600,AVENIDA KINIK MANZANA 01 LOTE 01,SUPERMANZANA 42,77500,S,S,N,N,
E08957,LOTE 34 CARRETERA VALLADOLID-PUERTO JUAREZ,S/COLONIA,99999,S,S,S,N,
E08958,MANZANA 62 SUPERMANZANA 97 LOTE 1,S/COLONIA,77500,S,S,S,N,
E08959,"LOTE 6-01,6-02 Y 6-03 CARR.CANCUN-PTO.JUAREZ KM.17",RANCHO SANTA ANA,77500,S,S,S,N,
E09353,MANZANA 01 LOTE 1-2 KM 328+200,SUPERMANZANA 30,77580,S,S,S,N,
E09519,AVENIDA JOSE LOPEZ PORTILLO SN,MANZANA 93 SUPERMANZANA 19,77517,S,S,S,N,
E09568,AVENIDA LUIS DONALDO COLOSIO SM57 MZ 3 LOTE 18,-,77500,S,S,N,N,
E09698,"RESERVA TERRITORIAL ""SASCABERAS"", MZ 11 LOTE 01",SUPERMANZANA 299,77500,S,S,S,N,
E09716,LOTE 1-02 SMZ.21 MZA.5 CARRETERA FED. CANCUN-TULUM,.,77580,N,N,N,N,
E09833,"AV.N.HEROES Y AV.C.VIAL MZA.68 L-02,L-01 Y 1-01",SUPERMANZANA 240,77500,S,S,N,N,
E09840,LOTE AZ-1-02 MANZANA 51 AVENIDA CHICHEN-ITZA,SUPERMANZANA 63,77513,S,S,S,N,
E09841,AVENIDA CIRCUITO VIAL Y AVENIDA COSTA MAYA MZA.69 LOTE 01,SUPERMANZANA 234,77500,S,S,S,N,
E09842,AVENIDA RODRIGO GOMEZ (KABAH) MANZANA 09 LOTE 11-02,SUPERMANZANA 38,77500,S,S,S,N,
E09864,AVE.NINOS HEROES SM 233 M 75 LOTES 4 Y 5 NO.4 Y 5,SM 233,77510,S,N,S,N,
E09912,"LOTE 6, MANZANA 2, DESARROLLO TURISTICO DE CANCUN",SUPERMANZANA 9,77503,S,S,N,N,
E10000,MANZANA 08 LOTE 1-01,SUPERMANZANA 515,77500,S,S,S,N,
E10091,"LOTE 1110-16 FRANJA NORTE, MANZANA 11",SUPERMANZANA 248,77500,S,S,N,N,
E10121,"LOTES 002, 003 Y 004, MZA. 01 FRACCIONAMIENTO. 28 DE JULIO",SUPERMANZANA 67,77514,S,S,N,N,
E10198,"CARRETERA MERIDA-CANCUN, MZA.33 LOTE 7-05",REG. 104,77539,S,S,S,N,
E10549,"AVENIDA HUAYACAN ESQ. AVENIDA CUMBRES, MZA. 27, LOTE 08",SMZ. 311,77560,S,S,N,N,
E10722,AVENIDA ANDRES QUINTANA ROO MZ. 01 LOTE 04,SM. 50,77533,S,S,S,N,
E10977,AVENIDA LAN KIN LOTE 1 MZ. 101,SM. 259,77510,S,S,S,N,
E11144,"LOCALIDAD 903,REGION 11 SMZA 002, MZA 001,LOTE 002",SC,77760,S,S,S,N,
E11159,"PERIFERICO CANCUN MANZANA- 01,LOTE 451-05",SM 244,77500,S,S,S,N,
E11226,"AVENIDA ARCO VIAL NO.MZ-121, LOTE 7",SM 260,77500,S,S,S,N,
E11312,AVENIDA KABAH ESQ. AVENIDA 20 DE NOVIEMBRE MZA 43 LT03,SMZA 226,77500,S,S,S,N,
E11327,"AVENIDA 20 DE NOVIEMBRE POR CALLE 18 MZA 50,LT.2-01",SMZA 227,77500,S,S,S,N,
E11405,AVENIDA KABAH SUR LOTE 4,SUPERMANZANA 14 A MANZANA 1,77504,S,S,S,N,
E11538,AVENIDA JOSE LOPEZ PORTILLO KM. 308+800,S/C,77560,S,S,S,N,
E11627,AVENIDA JOSE LOPEZ PORTILLO MANZANA 91 LOTE 24,SUPERMANZANA 532,77536,S,S,S,N,
E11845,LOTE 372-11,SUPERMANZANA 242 MANZANA 1,77510,S,S,S,N,
E11850,AVENIDA JUAREZ MANZANA 11 LOTE 4,SM 18,77504,S,S,S,N,
E11851,CARRETERA MERIDA-CAN CUN,SIN,77500,S,S,S,N,
E12006,AVENIDA HEBERTO CASTILLO MARTINEZ LOTE 1-01,"SM. 248,MZ.30",77516,S,S,S,N,
E12009,AVENIDA CARLOS CASTILLO PERAZA LOTE 1-09,SM 523 MZ 11,77533,S,S,S,N,
E12010,AV.135 LOTE 3-03 Y LOTE 3-05,SM.317 MZ 07,77535,S,S,S,N,
E12118,AV.HUAYACAN ESQ.LIB AEROPUERTO,,,S,S,S,N,
E12273,AV.20 DE NOVIEMBRE S.215 M.01 L.158-04 NO.PAD 4,FRACCIONAMIENTOIONAMIENTO LOS HEROES,77500,S,S,S,N,
E12634,BOULERVARD KUKULCAN Y CALLE LOTE 01 LOCALES 14 Y 15,ZONA HOTELERA,77500,S,S,S,N,
E12729,AVENIDA LAK IN LOTE 442-16,"SM.259,MZ.01",77500,N,N,N,N,
E12747,VIALIDAD PRINCIPAL ACCESO A EDIFICI T. AEROPUERTO,AEROPUERTO INTERNACIONAL DE CANCUN,77565,N,N,N,N,
J01190,CALLE EDZNA LOTE 1-4,AMPLIACION ZONA INDUSTRIAL,77500,N,N,S,N,
J01332,BOULERVARD LUIS DONALDO COLOSIO KM. 6.5,FRACCIONAMIENTO. NAZARETH,77500,N,N,S,N,
J01373,"LOTE 01 MZN 17,18,23 Y LOTE 02 MZN 22",SUPERMANZA 93,77517,N,N,S,N,
E00374,AVENIDA PEDRO JOAQUIN COLDWELL N 02,CENTRO,77600,S,S,S,N,
E03652,ACC.CARR.PRINC.PLAYA DEL CARMEN Y CARR.PTO.JUAREZ-,.,77710,S,S,S,N,
E04865,AVENIDA BENITO JUAREZ N 01,CENTRO,77620,S,S,S,N,
E06461,REGION 03 MANZANA 97 LOTE 01,Sin Colonia,77711,S,S,N,N,
E07550,CARRETERA COSTERA SUR KM.4.230,S/C,S/C,S,S,S,N,
E10199,"ENTRONQUE DE COBA, CAMINO QUE CONDUCE AL POBLADO DE CH",N/A,N/A,S,N,S,N,
E10479,MANZANA 003 LOTE 01,N/D,77710,S,S,S,N,
E10727,PROLONGACION AVENIDA ANDRES QUINTANA ROO LOTE 10,RESERVA TERRITORIAL,77600,S,S,S,N,
E10784,"LOTE 6, MZ. 01",ZONA 01,77710,S,S,S,N,
E10785,CONSTITUYENTES ENTRE AVENIDA 125 NTE. Y CALLE 34 NTE.,EJIDO PLAYA DEL CARMEN,77710,S,S,S,N,
E10793,FRACCIONAMIENTO. A DE LA FRACCIONAMIENTO. 3 DEL PREDIO TANKAH LOTE NO. 4,S/C,77780,S,S,S,N,
E10800,POLIGONO 4 DE LA RESERVA TERRITORIAL DEL IPAE,N/D,77760,S,S,S,N,
E11504,95 AVENIDA SUR LOTE050 LOTE 01,FRACCIONAMIENTOION XIII,77670,S,S,S,N,
E02493,AVENIDA BENITO JUAREZ N S/N,CENTRO,77200,S,S,S,N,
E06258,CARRETERA FED. F. CARRILLO PTO-CANCUN KM 134 MG-IZQ,Sin Colonia,77200,S,S,S,N,
E10814,AVENIDA BENITO JUAREZ LOTE 3 POLIGONO 01 MZ. 417,ZONA 08,.,S,S,S,N,
E10871,AVENIDA LAZARO CARDENAS ESQ.CALLE 52 LOTE 3 MZ 5,ZONA 9,77210,S,S,S,N,
E03098,AVENIDA ALMIRANTE RUEDA MEDINA N S/N,CENTRO,77400,S,N,S,S,
E08775,SUPERMANZANA 002 MANZANA 116 LOTE 002,CIRCUNVALACION AEROPUERTO,77500,S,N,S,N,
E10012,CALLE 2 SM.3 MZA. 1 RTM-MARINA,CONDIMINIO PLAYA MUJERES,77400,S,N,N,S,
E03073,AVENIDA JOSE MARIA MORELOS N S/N,SAN JUAN,77870,S,S,S,N,
E09481,AVENIDA JOSE MARIA MORELOS SIN NUMERO,MANZANA 155 LOTE 2 ZONA 1,77890,S,S,S,N,
E05772,CALLE 1 S/N,CENTRO,77320,S,N,S,N,
E06602,FRACCIONAMIENTO. SUROESTE DEL PREDIO,SAN PEDRO,77380,S,N,S,N,
E07401,JAVIER ROJO GOMEZ S/N,KANTUNILKIN,77300,S,S,N,N,
E11299,CALLE ESMEDREGAL MANZANA 220 SOLAR 3,S/C,S/CP,S,N,N,S,
E00372,AVENIDA ALVARO OBREGON NO.361,CENTRO,77000,S,S,S,N,
E00373,CALLE CARMEN OCHOA DE MERINO N 12,CENTRO,77000,S,S,N,N,
E03173,AVENIDA INSURGENTES N S/N,CAMINERA,77017,S,S,S,N,
E03426,KM-26 CARRETERA CHETUMAL-ESCARCEGA,SIN NOMBRE,77000,S,N,S,N,
E03855,CARR.CHETUMAL-BACALAR KM. 7,Sin Colonia,77000,S,S,S,N,
E04217,PUERTO DE ABRIGO LAGUNA MACAX,Sin Colonia,77400,S,N,S,S,
E04936,KM. 34 CARRETERA UCUM-LA UNION ENTR. CARRET.AL INGEN,Sin Colonia,77000,S,N,S,N,
E07279,CARRETERA CAFETAL-MAHUHUAL KM 52.8 MARGEN DERECHO,,,S,S,S,N,
E07803,"AVENIDA INSURGENTES PREDIOS 288,287,296,Y 297",LEONA VICARIO,SIN N,S,S,S,N,
E08301,"TREINTA LOTE CATORCE ""A"", MANZANA DOS",ZONA UNO,00000,S,S,S,N,
E08581,ERIK PAOLO MARTINEZ ESQ.PASEO DE LA IND.MEC.S/N.,FRACCIONAMIENTO.CENTRO INDUST.Y NEGOCIOS IBC,77019,S,S,S,N,
E08731,MANZANA 97 ZONA 7 LOTE 5,CENTRO,77930,S,S,S,N,
E09362,AVENIDA INSURGENTES 859-A,LAGUNITAS,77017,S,S,S,N,
E09370,AVENIDA MAXUXAC LOTE 4 MANZANA 706,CENTRO INDUSTRIAL Y DE NEGOCIOS IBC,77030,S,S,S,N,
E09426,AVENIDA MACHUXAC ESQ. CON AVENIDA CONSTITUYENTES #12,PROTERRITORIO,77086,S,S,S,N,
E09788,AVENIDA INSURGENTES S/N ESQ. TZISAUCHE MANZANA 001 LOTE 52,JARDINES DE PAYO OBISPO,97000,S,S,S,N,
E09816,CARRETERA FEDERAL CHETUMAL CARRILLO PUERTO,,,S,S,S,N,
E10237,FELIPE CARRILLO PUERTO LOTE 77,EJIDO SANTA ELENA,77965,S,S,S,N,
E10338,LOTE 10 MANZANA 13,ZONA 56,77000,S,S,S,N,
E10474,AVENIDA ALVARO OBREGON NO. 346 MANZANA 3,REGION XIV,77000,S,S,S,N,
E10667,CALLE 4 S/N MANZANA 40 LOTE 01,S/C,77930,S,N,S,N,
E10745,CARRETERA FEDERAL 186 ESCARCEGA - CHETUMAL KM. 203,,,S,S,S,N,
E10815,CALLE BACALAR-CHETUMAL S/N,"MANZANA 41, LOTE 01",77930,S,S,S,N,
E10873,AVENIDA INSURGENTES NO. 41,CHETUMAL CENTRO,77000,S,S,N,N,
E10921,PROLONGACION AVENIDA DE LOS HEROES NO. 551,ADOLFO LOPEZ MATEOS,77010,S,S,S,N,
E10988,AVENIDA INSURGENTES S/N M-25 LT-01,CENTRO,77000,S,S,N,N,
E11037,AVENIDA JAVIER ROJO GOMEZ LOTE 1,MZA. 103,70056,S,N,S,N,
E11063,"AVENIDA MAXUXAC NO. 8, 9 Y 10",SOLIDARIDAD,S/C,S,S,S,N,
E11065,AVENIDA ANDRES QUINTANA ROO NO. 274,COL. ASERRADERO,S/C,S,S,N,N,
E11072,AVENIDA HEROES 282 Y 282A ESQ. CAMELIAS,ADOLFO LOPEZ MATEOS,77010,S,S,N,N,
E11235,AVENIDA HEROES NO. 242 LOTE 27,ZONA HOTELERA,.,S,S,S,N,
E11428,AVENIDA MACHUXAC LOTE 14 NO. 4 B,FRACCIONAMIENTOIONAMIENTO ARBOLEDAS II,77086,S,S,S,N,
E11902,PLUTARCO ELIAS CALLES NO. 89,BARRIO BRAVO,77098,S,S,S,N,
E12283,AVENIDA LUIS DONALDO COLOSIO S/N,MANZANA 12,77965,S,S,S,N,
E05941,CARRETERA CHETUMAL-PUERTO MORELOS KM 269.5,SOLIDARIDAD,77782,S,S,S,N,
E05971,TERRENO SAN MIGUEL KM 93 CARRETERA TULUM-CANCUN,XPUHA,00000,S,S,S,N,
E06014,AVENIDA 45 NORTE ENTRE CALLE 16 Y 18 NORTE MZ-108,S/D,00001,N,N,N,N,
E06099,AVENIDA CONSTITUYENTES Y DECH.VIA CANCUN-TULUM,GONZALO GUERRERO PLAYA DEL CARMEN,77710,S,S,N,N,
E06169,CARRETERA FEDERAL TULUM-CANCUN ESQ. CALLE 2 NORTE BIS,Sin Colonia,0000,S,S,S,N,
E06774,AVENIDA TULUM LOTE-02 MANZANA 3 SUPERMANZANA 10,S/C,77780,S,S,N,N,
E07557,"30 AVENIDA NORTE MANZANA 108 LOTES 14, 15 Y 16",ZACIL HA,77720,N,N,N,N,
E08120,CARRETERA CHETUMAL-PUERTO JUAREZ KM. 299.5,,,S,S,S,N,
E08531,"AVENIDA C.T.M. MANZANA 250 LOTES 1,2,3,4,5,6,7 Y8",FRACCIONAMIENTO. LUIS DONALDO COLOSIO,77712,S,S,N,N,
E08763,MANZANA 44 # 1391 NTE.,,,S,S,S,N,
E08837,"AVENIDA CONSTITUYENTES, MZ 119, LOTE 1, FRAC.2 ZONA 1",REGION 012,77500,S,S,N,N,
E09062,AVENIDA BENITO JUAREZ MANZANA 32 LOTE 008,REGION 008,77100,S,S,S,N,
E09619,"MZ. 333, LOTES 3,4 Y 5",ACCESO AL FRACCIONAMIENTO. EL TIGRILLO,77712,S,S,S,N,
E09661,"AVENIDA TULUM ORIENTE MZA. 06 REGION 3 LOTES 1,2,3",CENTRO,77780,S,S,S,N,
E09852,"PARCELA 141, Z1, P1/1 (SMZ. 63, MZ. 1, LOTE 2)",EJIDO (LA CRUZ DE SERVICIO),77724,S,S,S,N,
E09886,"AVENIDA ZAMNA, MZA. 30,LOTE 4",SIN COLONIA,77780,S,S,S,N,
E10180,CARR.FED.307 TR.TULUM-PLAYA CARMEN Y C.YALKU MZ.2 L.05,S/C,77780,S,S,S,N,
E10701,BOULEVARD PLAYA DEL CARMEN MANZANA 255 LOTE 25,EJIDO,77710,S,S,S,N,
E11030,CAR.FED.307 CHETUMAL-PTO.JUAREZ X AVE.UNIV. L-001,MZA. 40,.,S,S,S,N,
E11702,AVENIDA NORTE Y AVENIDA SIAN KAAN,SM.051,77720,S,S,S,N,
E11928,CARRETERA FEDERAL 307 KM 250,,,S,S,S,N,
E12007,AV.NORTE Y AV.PETEMPICH,"SM53,MZ1",77716,S,S,S,N,
E12641,CARRETERA CANCUN CHETUMAL KM 304.40,,,S,S,S,N,
E02944,TULUM CARR CARRILLO PTO PTO JUAREZ,.,77580,S,S,S,N,
E03055,CARR SAN LUIS-AHUALULCO KM. 9.247,,,S,S,S,N,
E07432,CARRETERA CD. VALLES-EL NARANJO KM. 37+500,,,S,N,S,N,
E08962,CARRETERA AHUALULCO-CHARCAS KM.25,Sin Colonia,78450,S,S,S,N,
E05307,CARRETERA VALLES-SLP KM 31+500 MG-SUR CRUC. DE RASCO,,,S,S,S,N,
E08437,CARRETERA MEXICO-LAREDO KM. 305 S/N,,,S,S,S,N,
E08864,CARRETERA 85 MEXICO.LAREDO KM. 305+620,,,S,S,S,N,
E03068,JUAREZ Y 2 DE ABRIL,CENTRO,79380,S,N,N,N,
E04875,CARRETERA CARDENAS-RAYON KM ,,,S,N,S,N,
E11703,MORELOS NO. 6,CENTRO,79380,S,S,S,N,
E09211,HIDALGO NO. 51 A,CENTRO,68540,S,N,S,N,
E10958,PLATA # 1,.,78551,S,S,S,N,
E02282,CARRETERA CEDRAL-MATHUALA KM 1,CENTRO,78520,S,S,S,N,
E04321,LIBRAMIENTO FLORES MAGON N 485 NORTE,Sin Colonia,78520,S,S,S,N,
E02283,NICOLAS BRAVO # 11,CENTRO,79402,S,S,S,N,
E09285,BOULEVARD MANUEL GOMEZ MORIN KM. 1.14 PONIENTE,AURORA,.,S,S,S,N,
E04643,CARRETERA FEDERAL TAMPICO-BARRA NAVIDAD KM.111.500,.,79300,S,N,S,N,
E08024,BOULERVARD MIGUEL BARRAGAN ESQ. LAS FLORES S/N,LAS ALAZANAS,79300,S,S,N,N,
E11937,CARRETERA 101 ENTRONQUE TULA-CD VICTORIA KM 1.13,,,S,S,S,N,
E04122,CARRETERA RIO VERDE-SAN LUIS POTOSI KM ,,,S,S,S,N,
E06846,CARLOS JONGUITUD BARRIOS No. 146,Sin Colonia,79650,S,S,S,N,
E07060,MORELOS NO. 935,S/C,79650,S,S,S,N,
E10513,CAMINO VECINAL AL JABALI KM 1,BARRIO 3,79660,S,S,S,N,
E12645,CARRETERA CD VALLES-S.L.P. TRAMO RIO V-SLP KM 138+000,,,S,S,S,N,
E01270,CARRETERA MEXICO-LAREDO NO. 1100,MORELOS,79000,S,S,S,N,
E01271,CARRETERA NACIONAL MEXICO-LAREDO 30 A,ZONA CENTRO,79000,S,S,N,N,
E01274,MIGUEL HIDALGO NO. 523 B,ZONA CENTRO,79000,S,S,N,N,
E01279,MEXICO-LAREDO Y VALLES-TAMPICO KM ,HIDALGO,74080,S,S,S,N,
E03026,CD VALLES-RIO VERDE S/N,CUAHUTEMOC,79040,S,S,S,N,
E03538,CD VALLES-TAMPICO KM ,,,S,S,S,N,
E03845,CARRETERA ESTATAL LIBRE NACIONAL Y LIBRAMIENTO SUR,LOMAS DEL YUEJAT,79090,S,S,S,N,
E04642,CARRETERA CD. VALLES-RIO VERDE No. 220,,,S,S,S,N,
E05321,CARRETERA VALLES KM ,,,S,S,N,N,
E06137,CARRETERA. AL INGENIO # 1301,STA. LUCIA,79090,S,S,S,N,
E07494,AVENIDA PEDRO ANTONIO SANTOS NO. 643,FRACCIONAMIENTO. AVANCE,79049,S,S,N,N,
E08994,BOULEVARD MEXICO-LAREDO 444 NORTE,CENTRO,79000,S,S,N,N,
E09050,ANTIGUO LIBRAMIENTO  NO. 739 NTE,ALTAVISTA,79050,S,S,S,N,
E09467,BOULERVARD LAZARO CARDENAS DEL RIO # 413,TETUAN,79090,S,S,S,N,
E09479,CARRETERA MEXICO - LAREDO KM ******,,,S,S,S,N,
E09897,CARRETERA NACIONAL VALLES - TAMPICO KM. 5.7,,,S,S,S,N,
E09922,CARRETERA VALLES - RIO VERDE 7109,,,S,S,S,N,
E10171,CARRETERA FEDERAL MEXICO - LAREDO  5216,,,S,S,S,N,
E10410,TRAMO URBANO DE CARRETERA VALLES MANTE N-1201 NTE.,,,S,S,S,N,
J01056,CALLE ELVIRA 307-A,FRACCIONAMIENTOIONAMIENTO SAN LUIS,79097,N,N,S,N,
J01079,CARRETERA NACIONAL SUR Y 1A AVENIDA,LOMAS DE ORIENTE,79090,N,N,S,N,
E02264,CARRETERA LOS CHARCOS KM1,CENTRO,78570,S,N,S,N,
E05996,CARRETERA FED. # 63 KM 99+400 MARGEN DERECHO,,,S,S,S,N,
E02354,CALLE VICENTE GUERRERO N 1,TULIPANES,79170,S,S,S,N,
E02551,KM 57.0 TAMPICO-CD VALLES,PETROLERA,76290,S,S,S,N,
E05283,AVENIDA LAZARO CARDENAS S/N,MANUEL AVILA CAMACHO,79130,S,S,S,N,
E04379,AVENIDA HIDALGO PTE. 750,,,S,S,S,N,
E10024,CARRETERA TAMPICO BARRA DE NAVIDAD KM. 167.000,,,S,N,S,N,
E02291,CARRETERA A PIEDRAS NEGRAS KM 108,Sin Colonia,78870,S,N,S,N,
E03809,CARR 57 TRAMO SAN LUIS-MATEHUALA KM 100,,,S,S,S,N,
E10453,CARRETERA FEDERAL NUM. 80 KM. 33+300,,,S,N,S,N,
E11996,"CARRETERA FEDERAL 57,TRAMO SAN LUIS POTOSI MATEHUALA KM 100",,,S,S,S,N,
E01285,CARRETERA MEXICO-LAREDO NO. 21,ZONA CENTRO,79890,S,N,S,N,
E02293,CALLE HIDALGO N 312 SUR,CENTRO,78700,S,N,N,N,
E02294,CALLE LAS AMERICAS N 707,SIN COLONIA,78700,S,S,S,N,
E02295,"CARRETERA MATEHUALA,SAN LUIS KM.1",,,S,S,S,N,
E02296,CALLE MATAMOROS N 402 ORIENTE,CENTRO,78700,S,S,S,N,
E02297,CARRETERA MATEHUALA-SALTILLO KM 5.5,LA AVIACION,78700,S,S,S,N,
E04904,CARR MATEHUALA-CEDRAL N 902,CENTRO,78800,S,S,S,N,
E06260,PROLONGACION INDEPENDENCIA NUMERO 3426,RANCHO SAN RAMON,78790,S,S,N,N,
E06414,CARRETERA CENTRAL 57 SLP-MATEHUALA KM 179+605 # 3805,,,S,S,S,N,
E07528,PROLONGACION MATAMOROS NO. 1101,ZONA PERIFERIA,78740,S,S,S,N,
E08354,LIB. MATEHUALA KM 187+436 LADO DERECHO,,,S,S,S,N,
E08355,LIB. MATEHUALA KM 187+436 LADO IZQUIERDO,,,S,S,S,N,
E08488,MANUEL ESPERON NO. 120,FACCIONAMIENTO LAS HADAS,78781,S,S,S,N,
E08733,CARRETERA CENTRAL 57 KM. 177+700,,,S,S,S,N,
E09450,"CARRETERA CENTRAL NO. 57, KM 1+410",LA DICHOSA,79600,S,S,S,N,
E09553,5 DE MAYO 1032,ALTAMIRA,78797,S,S,N,N,
E09595,AVENIDA LAS TORRES NO. 400,EL PINE$O,78000,S,N,N,N,
E09599,CARRETERA 57 KM. 14.5,,,S,S,S,N,
E09729,JUAREZ NO. 401 NTE,CENTRO,78700,S,S,N,N,
E11593,JUAREZ # 1521,CENTRO,78700,S,S,N,N,
J01119,CALLE GUERRERO N 201,CENTRO,78700,N,N,S,N,
E05224,CARRETERA SAN LUIS-TORREON KM 24.1,Sin Colonia,78430,S,S,S,N,
E10305,CARRETERA FEDERAL SAN LUIS ZATECAS # 207,,,S,S,S,N,
E10923,CARRETERA FED. SAN LUIS POTOSI-ZACATECAS KM.29+657,,,S,S,S,N,
E03309,CL NI#OS HEROES N 22,CENTRO,78900,S,S,S,N,
E05735,COLON Y CARRETERA SAN LUIS-CHARCAS MARG IZQUIERDO,Sin Colonia,78900,S,S,S,N,
E04231,CARRETERA CD VALLES-SAN LUIS POTOSI KM ,,,S,S,S,N,
E10031,AVENIDA MIGUEL HIDALGO NO. 17,CENTRO,79740,S,S,S,N,
E11236,CARRETERA CIUDAD VALLES-SAN LUIS POTOSI (MEX 70) KM 103.71 MARGEN DERECHO,,,S,S,S,N,
E02266,CARRETERA SLP-RIOVERDE-VALLES KM 271.9,ZONA CENTRO,79610,S,S,S,N,
E02299,BLVD CARLOS JONGUITUD BARRIOS NO. 110,CENTRO,79610,S,S,S,N,
E05390,CARRETERA FEDERAL 70 RIOVERDE-SAN LUIS POTOSI KM 186+000,.,79610,S,N,S,N,
E05403,CALLE CENTENARIO No. 430,CENTRO,79610,S,S,N,N,
E07225,CARR RIOVERDE-VALLES Y SUPERCARRETERA RIOVERDE-CERRITOS-MA,S/C,79650,S,S,S,N,
E08342,PROLONGACION BOULERVARD CARLOS JONGUITUD BARRIOS 2050,S/C,79610,S,S,S,N,
E08881,JIMENEZ #110,,,S,S,S,N,
E09221,CARRETERA FEDERAL 69 JALPAN-RIOVERDE KM.99+200,,,S,N,S,N,
E09895,BOULEVARD UNIVERSITARIO NO. 1610,NUEVA EL PUENTE DEL CARMEN,79617,S,S,S,N,
E10019,HEROES POTOSINOS NO. 321,CENTRO,79600,S,S,S,N,
E10157,DR. GAMA SILVA NO. 725 ESQ. IGNACIO NOYOLA NIETO,CENTRO,79610,S,S,S,N,
E11903,INSURGENTES NO. 425,CENTRO,79610,S,S,S,N,
E02267,CARRETERA SAN LUIS POTOSI-ZACATECAS KM. 96,,,S,S,S,N,
E02300,CALLE MANUEL DOBLADO S/N,CENTRO,78600,S,N,S,N,
E11232,CARRETERA A SANTO DOMINGO # 60,.,78600,S,S,S,N,
E06110,CARRETERA SAN CIRO DE ACOSTA-RIO VERDE KM ,,,S,S,S,N,
E10162,ALAMEDA NUMERO 2,BARRIO DE GUADALUPE,79680,S,N,S,N,
E02272,"CARRETERA QUERETARO-SAN LUIS KM 189-0, VILLA DE POZOS",,,S,S,S,N,
